Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Mon Nov 06 2017 02:41:00 GMT+0800 (SGT),0.012,4.056,4.057,0.005
Mon Nov 06 2017 02:42:00 GMT+0800 (SGT),0.012,4.1655,4.1595,0.005
Mon Nov 06 2017 02:43:00 GMT+0800 (SGT),0.012,4.2945,4.2885,0.005
Mon Nov 06 2017 02:44:00 GMT+0800 (SGT),0.012,4.2735,4.2675,0.005
Mon Nov 06 2017 02:45:00 GMT+0800 (SGT),0.012,4.2525,4.2465,0.005
Mon Nov 06 2017 02:46:00 GMT+0800 (SGT),0.012,4.269,,0.005
Mon Nov 06 2017 02:47:00 GMT+0800 (SGT),0.012,4.267,4.261,0.005
Mon Nov 06 2017 02:48:00 GMT+0800 (SGT),0.012,4.0545,4.048,0.005
Mon Nov 06 2017 02:49:00 GMT+0800 (SGT),0.012,4.047,4.0275,0.005
Mon Nov 06 2017 02:50:00 GMT+0800 (SGT),0.012,4.041,4.041,0.005
Mon Nov 06 2017 02:51:00 GMT+0800 (SGT),0.012,4.174,4.168,0.005
Mon Nov 06 2017 02:52:00 GMT+0800 (SGT),0.012,4.1535,4.1475,0.005
Mon Nov 06 2017 02:53:00 GMT+0800 (SGT),0.012,4.16,4.154,0.005
Mon Nov 06 2017 02:54:00 GMT+0800 (SGT),0.012,4.213,4.207,0.005
Mon Nov 06 2017 02:55:00 GMT+0800 (SGT),0.012,4.4215,4.4155,0.005
Mon Nov 06 2017 02:56:00 GMT+0800 (SGT),0.012,4.438,4.432,0.005
Mon Nov 06 2017 02:57:00 GMT+0800 (SGT),0.012,4.4975,4.4915,0.005
Mon Nov 06 2017 02:58:00 GMT+0800 (SGT),0.012,4.431,4.425,0.005
Mon Nov 06 2017 02:59:00 GMT+0800 (SGT),0.012,4.4265,4.4205,0.005
Mon Nov 06 2017 03:00:00 GMT+0800 (SGT),0.012,3.943,3.937,0.005
Mon Nov 06 2017 03:01:00 GMT+0800 (SGT),0.012,3.232,3.226,0.005
Mon Nov 06 2017 03:02:00 GMT+0800 (SGT),0.012,3.192,3.191,0.01
Mon Nov 06 2017 03:03:00 GMT+0800 (SGT),0.012,3.1865,3.1805,0.005
Mon Nov 06 2017 03:04:00 GMT+0800 (SGT),0.012,3.2445,3.241,0.0075
Mon Nov 06 2017 03:05:00 GMT+0800 (SGT),0.012,3.1785,3.1725,0.005
Mon Nov 06 2017 03:06:00 GMT+0800 (SGT),0.012,3.1605,3.1565,0.0075
Mon Nov 06 2017 03:07:00 GMT+0800 (SGT),0.012,3.1595,3.153,0.005
Mon Nov 06 2017 03:08:00 GMT+0800 (SGT),0.012,3.145,3.139,0.005
Mon Nov 06 2017 03:09:00 GMT+0800 (SGT),0.012,3.1345,3.1285,0.005
Mon Nov 06 2017 03:10:00 GMT+0800 (SGT),0.012,3.0645,3.0585,0.005
Mon Nov 06 2017 03:11:00 GMT+0800 (SGT),0.012,3.0765,3.07,0.005
Mon Nov 06 2017 03:12:00 GMT+0800 (SGT),0.012,2.851,2.845,0.005
Mon Nov 06 2017 03:13:00 GMT+0800 (SGT),0.012,2.855,2.837,
Mon Nov 06 2017 03:14:00 GMT+0800 (SGT),0.012,2.8405,2.8345,0.005
Mon Nov 06 2017 03:15:00 GMT+0800 (SGT),0.012,2.861,2.855,0.005
Mon Nov 06 2017 03:16:00 GMT+0800 (SGT),0.012,2.803,2.797,0.005
Mon Nov 06 2017 03:17:00 GMT+0800 (SGT),0.055,2.7215,2.672,0.005
Mon Nov 06 2017 03:18:00 GMT+0800 (SGT),0.1015,3.383,2.9745,0.005
Mon Nov 06 2017 03:19:00 GMT+0800 (SGT),0.103,3.3565,3.259,0.005
Mon Nov 06 2017 03:20:00 GMT+0800 (SGT),0.091,3.3695,3.2845,0.005
Mon Nov 06 2017 03:21:00 GMT+0800 (SGT),,3.275,3.307,
Mon Nov 06 2017 03:22:00 GMT+0800 (SGT),0.067,3.288,3.223,0.005
Mon Nov 06 2017 03:23:00 GMT+0800 (SGT),0.06,3.28,,0.005
Mon Nov 06 2017 03:24:00 GMT+0800 (SGT),0.083,3.2495,3.171,
Mon Nov 06 2017 03:25:00 GMT+0800 (SGT),,,,0.005
Mon Nov 06 2017 03:26:00 GMT+0800 (SGT),0.103,3.243,,0.005
Mon Nov 06 2017 03:27:00 GMT+0800 (SGT),0.12,3.3455,3.321,0.005
Mon Nov 06 2017 03:28:00 GMT+0800 (SGT),0.135,,3.086,
Mon Nov 06 2017 03:29:00 GMT+0800 (SGT),0.15,3.033,2.878,0.005
Mon Nov 06 2017 03:30:00 GMT+0800 (SGT),0.165,,2.9015,0.005
Mon Nov 06 2017 03:31:00 GMT+0800 (SGT),0.181,3.0285,2.883,
Mon Nov 06 2017 03:32:00 GMT+0800 (SGT),,3.0815,2.909,0.005
Mon Nov 06 2017 03:33:00 GMT+0800 (SGT),,,2.89,0.005
Mon Nov 06 2017 03:34:00 GMT+0800 (SGT),0.223,,2.86,0.0075
Mon Nov 06 2017 03:35:00 GMT+0800 (SGT),0.209,3.048,2.814,
Mon Nov 06 2017 03:36:00 GMT+0800 (SGT),0.227,3.032,,0.005
Mon Nov 06 2017 03:37:00 GMT+0800 (SGT),,3.021,2.793,0.005
Mon Nov 06 2017 03:38:00 GMT+0800 (SGT),0.246,,,
Mon Nov 06 2017 03:39:00 GMT+0800 (SGT),,3.271,,0.005
Mon Nov 06 2017 03:40:00 GMT+0800 (SGT),0.27,3.312,3.029,0.005
Mon Nov 06 2017 03:41:00 GMT+0800 (SGT),0.291,3.246,2.964,0.005
Mon Nov 06 2017 03:42:00 GMT+0800 (SGT),0.304,,2.9715,
Mon Nov 06 2017 03:43:00 GMT+0800 (SGT),0.322,,3.0415,0.005
Mon Nov 06 2017 03:44:00 GMT+0800 (SGT),0.417,,,0.005
Mon Nov 06 2017 03:45:00 GMT+0800 (SGT),0.495,3.289,2.712,0.005
Mon Nov 06 2017 03:46:00 GMT+0800 (SGT),0.593,3.213,,
Mon Nov 06 2017 03:47:00 GMT+0800 (SGT),0.879,,2.542,
Mon Nov 06 2017 03:48:00 GMT+0800 (SGT),1.04,3.166,2.034,
Mon Nov 06 2017 03:49:00 GMT+0800 (SGT),,,2.356,
Mon Nov 06 2017 03:50:00 GMT+0800 (SGT),1.1055,3.243,2.081,0.005
Mon Nov 06 2017 03:51:00 GMT+0800 (SGT),1.397,3.21,1.819,0.005
Mon Nov 06 2017 03:52:00 GMT+0800 (SGT),1.684,2.597,,
Mon Nov 06 2017 03:53:00 GMT+0800 (SGT),1.378,2.73,1.239,0.005
Mon Nov 06 2017 03:54:00 GMT+0800 (SGT),2.016,2.477,,0.005
Mon Nov 06 2017 03:55:00 GMT+0800 (SGT),1.6805,2.847,,0.005
Mon Nov 06 2017 03:56:00 GMT+0800 (SGT),1.457,2.643,,0.01
Mon Nov 06 2017 03:57:00 GMT+0800 (SGT),,2.784,,0.005
Mon Nov 06 2017 03:58:00 GMT+0800 (SGT),1.985,,0.782,0.0075
Mon Nov 06 2017 03:59:00 GMT+0800 (SGT),2.079,,0.8715,0.005
Mon Nov 06 2017 04:00:00 GMT+0800 (SGT),,,0.8475,0.005
Mon Nov 06 2017 04:01:00 GMT+0800 (SGT),2.339,2.476,0.0405,0.02
Mon Nov 06 2017 04:02:00 GMT+0800 (SGT),2.5225,2.347,0.041,0.106
Mon Nov 06 2017 04:03:00 GMT+0800 (SGT),,2.429,0.652,0.005
Mon Nov 06 2017 04:04:00 GMT+0800 (SGT),1.998,,,
Mon Nov 06 2017 04:05:00 GMT+0800 (SGT),,1.981,-0.317,0.015
Mon Nov 06 2017 04:06:00 GMT+0800 (SGT),3.153,1.897,-0.0385,1.024
Mon Nov 06 2017 04:08:00 GMT+0800 (SGT),2.8465,2.661,0.275,0.507
Mon Nov 06 2017 04:09:00 GMT+0800 (SGT),2.0615,2.456,,
Mon Nov 06 2017 04:10:00 GMT+0800 (SGT),2.432,,0.028,0.005
Mon Nov 06 2017 04:11:00 GMT+0800 (SGT),2.649,2.5465,0.035,
Mon Nov 06 2017 04:12:00 GMT+0800 (SGT),,2.559,,0.005
Mon Nov 06 2017 04:13:00 GMT+0800 (SGT),2.328,,0.156,
Mon Nov 06 2017 04:14:00 GMT+0800 (SGT),2.503,2.431,-0.125,0.015
Mon Nov 06 2017 04:15:00 GMT+0800 (SGT),2.793,1.925,0.088,0.5775
