Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power,MPPT - Current,MPPT - Voltage,BMS - Battery Voltage,BMS - Battery Current,BMS - Temperature,BMS - Amp Hour Charge
Mon Nov 06 2017 02:01:00 GMT+0800 (SGT),0.012,4.088,4.084,0.0075,,,50.92,0.42,21,0.007
Mon Nov 06 2017 02:02:00 GMT+0800 (SGT),0.012,4.079,4.0725,0.005,,,50.92,0.422,21,
Mon Nov 06 2017 02:03:00 GMT+0800 (SGT),0.012,4.082,4.0855,0.005,,,50.92,0.4235,21,0.007
Mon Nov 06 2017 02:04:00 GMT+0800 (SGT),0.012,4.099,4.093,0.005,,,50.92,0.4225,21,0.007
Mon Nov 06 2017 02:05:00 GMT+0800 (SGT),0.012,4.095,,0.005,,,50.92,0.423,21,0.007
Mon Nov 06 2017 02:06:00 GMT+0800 (SGT),0.012,4.087,4.0805,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:07:00 GMT+0800 (SGT),0.012,3.489,3.483,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 02:08:00 GMT+0800 (SGT),0.012,3.5,3.494,0.005,,,50.92,0.422,21,0.007
Mon Nov 06 2017 02:09:00 GMT+0800 (SGT),0.012,3.4905,3.4845,0.005,,,50.92,0.4195,21,0.007
Mon Nov 06 2017 02:10:00 GMT+0800 (SGT),0.012,3.233,3.2265,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:11:00 GMT+0800 (SGT),0.012,3.179,3.173,0.005,,,50.92,0.4195,21,0.007
Mon Nov 06 2017 02:12:00 GMT+0800 (SGT),0.012,3.2345,3.231,0.0075,,,50.92,0.4205,21,0.007
Mon Nov 06 2017 02:13:00 GMT+0800 (SGT),0.012,3.2705,3.264,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:14:00 GMT+0800 (SGT),0.012,3.2705,3.264,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:15:00 GMT+0800 (SGT),0.012,3.3805,3.3745,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 02:16:00 GMT+0800 (SGT),0.012,3.4025,3.41,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 02:17:00 GMT+0800 (SGT),0.012,3.615,3.6115,0.0075,,,50.92,0.417,21,0.007
Mon Nov 06 2017 02:18:00 GMT+0800 (SGT),0.012,4.1265,4.1175,0.0025,,,50.92,0.4185,21,0.007
Mon Nov 06 2017 02:19:00 GMT+0800 (SGT),0.012,4.5425,4.5365,0.005,,,50.92,0.4235,21,0.007
Mon Nov 06 2017 02:20:00 GMT+0800 (SGT),0.012,4.1415,4.135,0.005,,,50.92,0.4195,21,0.007
Mon Nov 06 2017 02:21:00 GMT+0800 (SGT),0.012,4.142,4.136,0.005,,,50.92,0.4195,21,0.007
Mon Nov 06 2017 02:22:00 GMT+0800 (SGT),0.012,4.1425,4.123,0.005,,,50.92,0.422,21,0.007
Mon Nov 06 2017 02:23:00 GMT+0800 (SGT),0.012,4.206,4.2,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 02:24:00 GMT+0800 (SGT),,4.807,,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:25:00 GMT+0800 (SGT),0.012,4.7505,4.7445,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 02:26:00 GMT+0800 (SGT),0.012,4.7335,4.7275,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 02:27:00 GMT+0800 (SGT),0.012,4.738,4.721,0.005,,,50.92,0.423,21,0.007
Mon Nov 06 2017 02:28:00 GMT+0800 (SGT),0.012,5.0995,5.093,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 02:29:00 GMT+0800 (SGT),0.012,4.74,4.7315,0.0025,,,50.92,0.424,21,0.007
Mon Nov 06 2017 02:30:00 GMT+0800 (SGT),0.012,4.7085,4.7025,0.005,,,50.92,0.4225,21,0.007
Mon Nov 06 2017 02:31:00 GMT+0800 (SGT),0.012,4.6315,4.6255,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:32:00 GMT+0800 (SGT),0.012,4.4495,4.4435,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:33:00 GMT+0800 (SGT),0.012,4.357,4.3885,0.005,,,50.92,0.419,21,0.007
Mon Nov 06 2017 02:34:00 GMT+0800 (SGT),0.012,4.3565,4.3505,0.005,,,50.915,0.4205,21,0.007
Mon Nov 06 2017 02:35:00 GMT+0800 (SGT),0.012,4.2575,4.2515,0.005,,,50.915,0.421,21,0.007
Mon Nov 06 2017 02:36:00 GMT+0800 (SGT),0.012,4.153,4.147,0.005,,,50.915,0.4195,21,0.007
Mon Nov 06 2017 02:37:00 GMT+0800 (SGT),0.012,4.147,4.141,0.005,,,50.915,0.4205,21,0.007
Mon Nov 06 2017 02:38:00 GMT+0800 (SGT),0.012,4.1285,4.1225,,,,50.91,0.4195,21,0.007
Mon Nov 06 2017 02:39:00 GMT+0800 (SGT),0.012,4.139,4.133,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 02:40:00 GMT+0800 (SGT),0.012,4.212,4.206,0.005,,,50.91,0.4235,21,0.007
Mon Nov 06 2017 02:41:00 GMT+0800 (SGT),0.012,4.056,4.057,0.005,,,50.91,0.4185,21,0.007
Mon Nov 06 2017 02:42:00 GMT+0800 (SGT),0.012,4.1655,4.1595,0.005,,,50.91,0.4195,21,0.007
Mon Nov 06 2017 02:43:00 GMT+0800 (SGT),0.012,4.2945,4.2885,0.005,,,50.91,0.4205,21,
Mon Nov 06 2017 02:44:00 GMT+0800 (SGT),0.012,4.2735,4.2675,0.005,,,50.91,0.4205,21,0.007
Mon Nov 06 2017 02:45:00 GMT+0800 (SGT),0.012,4.2525,4.2465,0.005,,,50.91,0.4175,21,0.007
Mon Nov 06 2017 02:46:00 GMT+0800 (SGT),0.012,4.269,,0.005,,,50.91,0.418,21,0.007
Mon Nov 06 2017 02:47:00 GMT+0800 (SGT),0.012,4.267,4.261,0.005,,,50.91,0.419,21,0.007
Mon Nov 06 2017 02:48:00 GMT+0800 (SGT),0.012,4.0545,4.048,0.005,,,50.91,0.419,21,0.007
Mon Nov 06 2017 02:49:00 GMT+0800 (SGT),0.012,4.047,4.0275,0.005,,,50.91,0.4215,21,0.007
Mon Nov 06 2017 02:50:00 GMT+0800 (SGT),0.012,4.041,4.041,0.005,,,50.91,0.4165,21,0.007
Mon Nov 06 2017 02:51:00 GMT+0800 (SGT),0.012,4.174,4.168,0.005,,,50.91,0.4205,21,0.007
Mon Nov 06 2017 02:52:00 GMT+0800 (SGT),0.012,4.1535,4.1475,0.005,,,50.91,0.422,21,0.007
Mon Nov 06 2017 02:53:00 GMT+0800 (SGT),0.012,4.16,4.154,0.005,,,50.91,0.4195,21,0.007
Mon Nov 06 2017 02:54:00 GMT+0800 (SGT),0.012,4.213,4.207,0.005,,,50.91,0.4175,21,0.007
Mon Nov 06 2017 02:55:00 GMT+0800 (SGT),0.012,4.4215,4.4155,0.005,,,50.91,0.4205,21,0.007
Mon Nov 06 2017 02:56:00 GMT+0800 (SGT),0.012,4.438,4.432,0.005,,,50.91,0.423,21,0.007
Mon Nov 06 2017 02:57:00 GMT+0800 (SGT),0.012,4.4975,4.4915,0.005,,,50.91,0.4215,21,0.007
Mon Nov 06 2017 02:58:00 GMT+0800 (SGT),0.012,4.431,4.425,0.005,,,50.91,0.4155,21,0.007
